Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
7TC004ZC,327,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC0059J,328,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC004WZ,329,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC0054F,330,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC0050J,331,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC004ZQ,332,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC0059B,333,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC004YN,334,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
7TC005CC,335,Disco Seagate IronWolf 125 1TB,12,STORAGE 01,0,1001282,Archiving/Hardrives,Equipos,1195,Disco Seagate IronWolf 125 1TB,Articulo,"Tipo : SDD

Velocidad : SATA 6Gb/s"
21115Z800059,336,Disco Western Digital WD RED SA500 1TB,4,STORAGE 01,0,1001295,Archiving/Hardrives,Equipos,1196,Disco Western Digital WD RED SA500 1TB,Articulo," 


Tipo : SDD

Velocidad : SATA 2.5"
21115Z800076,337,Disco Western Digital WD RED SA500 1TB,4,STORAGE 01,0,1001295,Archiving/Hardrives,Equipos,1196,Disco Western Digital WD RED SA500 1TB,Articulo," 


Tipo : SDD

Velocidad : SATA 2.5"
21115Z800002,338,Disco Western Digital WD RED SA500 1TB,4,STORAGE 01,0,1001295,Archiving/Hardrives,Equipos,1196,Disco Western Digital WD RED SA500 1TB,Articulo," 


Tipo : SDD

Velocidad : SATA 2.5"
21115Z800051,339,Disco Western Digital WD RED SA500 1TB,4,STORAGE 01,0,1001295,Archiving/Hardrives,Equipos,1196,Disco Western Digital WD RED SA500 1TB,Articulo," 


Tipo : SDD

Velocidad : SATA 2.5"
7TD003VR,340,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD003W0,341,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0046G,342,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0046J,343,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD003YT,344,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD00477,345,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0040X,346,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0044R,347,Disco Seagate IronWolf 125 2TB,8,STORAGE 01,0,1001300,Archiving/Hardrives,Equipos,1197,Disco Seagate IronWolf 125 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
21084H800464,348,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
21084H800516,349,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
21084H800532,350,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
21084H800454,351,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0047M,352,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0046N,353,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0040J,354,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
7TD0047C,355,Disco Western Digital WD RED SA500 2TB,8,STORAGE 01,0,1001309,Archiving/Hardrives,Equipos,1198,Disco Western Digital WD RED SA500 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
183753801062,356,Disco Western Digital Blue 2TB 3D NAND 2TB,1,STORAGE 01,0,1001318,Archiving/Hardrives,Equipos,1199,Disco Western Digital Blue 2TB 3D NAND 2TB,Articulo,"Tipo : SDD

Velocidad : SATA 2.5"
GS4000000244,357,Enclosure G SPEED SHUTTLE A,1,STORAGE 01,0,1001320,Archiving/Enclosure,Equipos,1200,Enclosure G SPEED SHUTTLE A,Articulo,
QUL042010857,358,Enclosure Pegasus 2 R4 Promise Technology,1,STORAGE 01,0,1001322,Archiving/Enclosure,Equipos,1201,Enclosure Pegasus 2 R4 Promise Technology,Articulo,
16031405210129GHB,367,Enclosure LACIE 8TB (4TBx2),1,STORAGE 01,0,1001324,Archiving/Enclosure,Equipos,1202,Enclosure LACIE 8TB (4TBx2),Articulo,
2130RWRFCQ2Y7,368,Enclosure Server (8TBx8),1,STORAGE 01,0,1001325,Archiving/Enclosure,Equipos,1203,Enclosure Server (8TBx8),Articulo,
,,Enclosure LACIE 8TB METADATA_BACKUP (4TBx2),1,STORAGE 01,0,1001326,Archiving/Enclosure,Equipos,1204,Enclosure LACIE 8TB METADATA_BACKUP (4TBx2),Articulo,
,,Enclosure OWC-01,1,STORAGE 01,0,1001327,Archiving/Enclosure,Equipos,1205,Enclosure OWC-01,Articulo,
,,Enclosure LACIE 16TB (8TBx2),1,STORAGE 01,0,1001328,Archiving/Enclosure,Equipos,1206,Enclosure LACIE 16TB (8TBx2),Articulo,
29578793,369,Enclosure OWC SoftRAID XT (Backup A),1,STORAGE 01,0,1001329,Archiving/Enclosure,Equipos,1207,Enclosure OWC SoftRAID XT (Backup A),Articulo,
29741493,370,Enclosure OWC SoftRAID XT (Backup B),1,STORAGE 01,0,1001330,Archiving/Enclosure,Equipos,1208,Enclosure OWC SoftRAID XT (Backup B),Articulo,
2940003101,359,Enclosure SHUTTLE 01 (1TBx4),1,STORAGE 01,0,1001331,Archiving/Enclosure,Equipos,1209,Enclosure SHUTTLE 01 (1TBx4),Articulo,
2940003463,360,Enclosure SHUTTLE 03 (1TBx4),1,STORAGE 01,0,1001333,Archiving/Enclosure,Equipos,1210,Enclosure SHUTTLE 03 (1TBx4),Articulo,
2940003469,361,Enclosure SHUTTLE 05 (1TBx4),1,STORAGE 01,0,1001335,Archiving/Enclosure,Equipos,1211,Enclosure SHUTTLE 05 (1TBx4),Articulo,
2940003374,362,Enclosure SHUTTLE 07 (1TBx4),1,STORAGE 01,0,1001337,Archiving/Enclosure,Equipos,1212,Enclosure SHUTTLE 07 (1TBx4),Articulo,
2940003457,363,Enclosure SHUTTLE 02 (2TBx4),1,STORAGE 01,0,1001339,Archiving/Enclosure,Equipos,1213,Enclosure SHUTTLE 02 (2TBx4),Articulo,
2940003333,364,Enclosure SHUTTLE 06 (2TBx4),1,STORAGE 01,0,1001341,Archiving/Enclosure,Equipos,1214,Enclosure SHUTTLE 06 (2TBx4),Articulo,
2940003455,365,Enclosure SHUTTLE 08 (2TBx4),1,STORAGE 01,0,1001343,Archiving/Enclosure,Equipos,1215,Enclosure SHUTTLE 08 (2TBx4),Articulo,
2940003735,366,Enclosure SHUTTLE 04 (2TBx4),1,STORAGE 01,0,1001345,Archiving/Enclosure,Equipos,1216,Enclosure SHUTTLE 04 (2TBx4),Articulo,
,,Enclosure LACIE (4TBx1),1,STORAGE 01,0,1001347,Archiving/Enclosure,Equipos,1217,Enclosure LACIE (4TBx1),Articulo,
,,Power AC Enclosure G SPEED SHUTTLE A,1,STORAGE 01,0,1001352,Power/Alimentadores AC/Asignados,Equipos,1218,Power AC Enclosure G SPEED SHUTTLE A,Articulo,
,,Power AC Enclosure LACIE 2Bay Thunderbolt 2,1,STORAGE 01,0,1001353,Power/Alimentadores AC/Asignados,Equipos,1219,Power AC Enclosure LACIE 2Bay Thunderbolt 2,Articulo,
,,Power AC Enclosure LACIE 8TB (4TBx2),1,STORAGE 01,0,1001354,Power/Alimentadores AC/Asignados,Equipos,1220,Power AC Enclosure LACIE 8TB (4TBx2),Articulo,
,,Power AC Enclosure LACIE 16TB (8TBx2),1,STORAGE 01,0,1001355,Power/Alimentadores AC/Asignados,Equipos,1221,Power AC Enclosure LACIE 16TB (8TBx2),Articulo,
,,Power AC Enclosure LACIE (4TBx1),1,STORAGE 01,0,1001356,Power/Alimentadores AC/Asignados,Equipos,1222,Power AC Enclosure LACIE (4TBx1),Articulo,
,,Power AC Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,0,1001357,Power/Alimentadores AC/Asignados,Equipos,1223,Power AC Enclosure OWC 4Bay Thunderbolt3,Articulo,
,,Power AC Enclosure OWC 4Bay Thunderbolt 2,1,STORAGE 01,0,1001358,Power/Alimentadores AC/Asignados,Equipos,1224,Power AC Enclosure OWC 4Bay Thunderbolt 2,Articulo,
,,Power AC Enclosure OWC 8 Bay Thunderbolt 3,2,STORAGE 01,0,1001359,Power/Alimentadores AC/Asignados,Equipos,1225,Power AC Enclosure OWC 8 Bay Thunderbolt 3,Articulo,
,,Power AC Enclosure OWC SoftRAID XT (Backup A),1,STORAGE 01,0,1001360,Power/Alimentadores AC/Asignados,Equipos,1226,Power AC Enclosure OWC SoftRAID XT (Backup A),Articulo,
,,Power AC Enclosure OWC SoftRAID XT (Backup B),1,STORAGE 01,0,1001361,Power/Alimentadores AC/Asignados,Equipos,1227,Power AC Enclosure OWC SoftRAID XT (Backup B),Articulo,
,,Power AC Enclosure OWC-01,1,STORAGE 01,0,1001362,Power/Alimentadores AC/Asignados,Equipos,1228,Power AC Enclosure OWC-01,Articulo,
,,Power AC Enclosure Pegasus 2 R4 Promise Technology,1,STORAGE 01,0,1001363,Power/Alimentadores AC/Asignados,Equipos,1229,Power AC Enclosure Pegasus 2 R4 Promise Technology,Articulo,
,,Power AC Enclosure Server (8TBx8),1,STORAGE 01,0,1001364,Power/Alimentadores AC/Asignados,Equipos,1230,Power AC Enclosure Server (8TBx8),Articulo,
,,Power AC Enclosure SHUTTLE 01 (1TBx4),1,STORAGE 01,0,1001365,Power/Alimentadores AC/Asignados,Equipos,1231,Power AC Enclosure SHUTTLE 01 (1TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 02 (2TBx4),1,STORAGE 01,0,1001366,Power/Alimentadores AC/Asignados,Equipos,1232,Power AC Enclosure SHUTTLE 02 (2TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 03 (1TBx4),1,STORAGE 01,0,1001367,Power/Alimentadores AC/Asignados,Equipos,1233,Power AC Enclosure SHUTTLE 03 (1TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 04 (2TBx4),1,STORAGE 01,0,1001368,Power/Alimentadores AC/Asignados,Equipos,1234,Power AC Enclosure SHUTTLE 04 (2TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 05 (1TBx4),1,STORAGE 01,0,1001369,Power/Alimentadores AC/Asignados,Equipos,1235,Power AC Enclosure SHUTTLE 05 (1TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 06 (2TBx4),1,STORAGE 01,0,1001370,Power/Alimentadores AC/Asignados,Equipos,1236,Power AC Enclosure SHUTTLE 06 (2TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 07 (1TBx4),1,STORAGE 01,0,1001371,Power/Alimentadores AC/Asignados,Equipos,1237,Power AC Enclosure SHUTTLE 07 (1TBx4),Articulo,
,,Power AC Enclosure SHUTTLE 08 (2TBx4),1,STORAGE 01,0,1001372,Power/Alimentadores AC/Asignados,Equipos,1238,Power AC Enclosure SHUTTLE 08 (2TBx4),Articulo,
GS4000000244,371,Drive Set  G-Speed Shuttle A,1,STORAGE 01,1,1001373,Archiving/Drives Sets,Equipos,1239,Drive Set  G-Speed Shuttle A,case,
QUL042010857,372,Drive Set Pegasus 2 R4 Promise Technology,1,STORAGE 01,1,1001375,Archiving/Drives Sets,Equipos,1240,Drive Set Pegasus 2 R4 Promise Technology,case,
16031405210129GHB,373,Drive Set LACIE 8TB (4TBx2),1,STORAGE 01,1,1001377,Archiving/Drives Sets,Equipos,1241,Drive Set LACIE 8TB (4TBx2),case,
2130RWRFCQ2Y7,374,Drive Set Server (8TBx8),1,STORAGE 01,1,1001379,Archiving/Drives Sets,Equipos,1242,Drive Set Server (8TBx8),case,
29578793,375,Drive Set OWC SoftRAID XT,1,STORAGE 01,1,1001381,Archiving/Drives Sets,Equipos,1243,Drive Set OWC SoftRAID XT,case,
,,Monitor Flanders Zunzheng,1,,0,1001383,Monitores,Equipos,1244,Monitor Flanders Zunzheng,Articulo,
,,DVD Player Blue Ray Disk,1,,0,1001385,Accesorios,Equipos,1246,DVD Player Blue Ray Disk,Articulo,
,,Router Lynksys EA2700,1,,0,1001387,Wireless Systems,Equipos,1248,Router Lynksys EA2700,Articulo,
,,Power AC Router Lynksys EA2700,1,,0,1001388,Power/Alimentadores AC/Asignados,Equipos,1249,Power AC Router Lynksys EA2700,Articulo,
,,Bocinas Panasonic SCBTT466,1,,0,1001389,Accesorios,Equipos,1250,Bocinas Panasonic SCBTT466,Articulo,
,,UPS Unipower,1,COLOR LAB,0,1001390,Power/UPS,Equipos,1251,UPS Unipower,Articulo,
,,Dock Sabrent,1,,0,1001391,Accesorios,Equipos,1252,Dock Sabrent,Articulo,
,,Power AC Dock Sabrent,1,,0,1001392,Power/Alimentadores AC/Asignados,Equipos,1253,Power AC Dock Sabrent,Articulo,
,,Teclado Numeric Pad (Black),1,COLOR LAB,0,1001393,Hardware/Teclados,Equipos,1254,Teclado Numeric Pad (Black),Articulo,
,,Hub Techole HDMI 3 Entradas,1,,0,1001394,Accesorios/Accesorios Video,Equipos,1255,Hub Techole HDMI 3 Entradas,Articulo,
,,Power AC Enclosure G-Speed Shuttle A,1,,0,1001395,Power/Alimentadores AC/Asignados,Equipos,1256,Power AC Enclosure G-Speed Shuttle A,Articulo,
,,Power AC Enclosure LACIE 8TB (4TBx2),1,,0,1001396,Power/Alimentadores AC/Asignados,Equipos,1257,Power AC Enclosure LACIE 8TB (4TBx2),Articulo,
,,Power AC Enclosure OWC SoftRAID XT,1,,0,1001397,Power/Alimentadores AC/Asignados,Equipos,1258,Power AC Enclosure OWC SoftRAID XT,Articulo,
,,Power AC Enclosure Pegasus 2R4 Promise Technology,1,,0,1001398,Power/Alimentadores AC/Asignados,Equipos,1259,Power AC Enclosure Pegasus 2R4 Promise Technology,Articulo,
,,Power AC Enclosure Set Server (8TBx8),1,,0,1001399,Power/Alimentadores AC/Asignados,Equipos,1260,Power AC Enclosure Set Server (8TBx8),Articulo,
,,Power AC Enclosure LACIE,3,,0,1001400,Power/Alimentadores AC/Asignados,Equipos,1261,Power AC Enclosure LACIE,Articulo,
,,Power AC LACIE 8TB (4TBx2),1,,0,1001401,Power/Alimentadores AC/Asignados,Equipos,1262,Power AC LACIE 8TB (4TBx2),Articulo,
,,Cable AC XLR 5 Pins 10ft,1,,0,1001402,Power/Alimentadores AC/No Asignados,Equipos,1263,Cable AC XLR 5 Pins 10ft,Articulo,
,,Cable AC Europeo,1,,0,1001403,Power/Alimentadores AC/No Asignados,Equipos,1264,Cable AC Europeo,Articulo,
,,Alimentador XLR 4 Pins 10ft,1,,0,1001404,Power/Alimentadores AC/No Asignados,Equipos,1265,Alimentador XLR 4 Pins 10ft,Articulo,
,,Power AC Enclosure,1,,0,1001405,Power/Alimentadores AC/No Asignados,Equipos,1266,Power AC Enclosure,Articulo,
